"No.","Time","Source","Destination","Protocol","Length","Info"
"890","51.623492","10.192.157.113","10.192.157.147","DNS","156","Standard query response 0x6b79 A tab.video.qq.com CNAME ins-226f7q0w.ias.tencent-cloud.net A 122.97.71.166 A 122.97.71.201"
"891","51.623492","10.192.157.113","10.192.157.147","DNS","180","Standard query response 0x0cb8 AAAA tab.video.qq.com CNAME ins-226f7q0w.ias.tencent-cloud.net AAAA 2408:873d:a00:12::23 AAAA 2408:873d:a00:12::38"
"892","51.623492","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","200","Standard query response 0x0cb8 AAAA tab.video.qq.com CNAME ins-226f7q0w.ias.tencent-cloud.net AAAA 2408:873d:a00:12::38 AAAA 2408:873d:a00:12::23"
"893","51.623492","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","176","Standard query response 0x6b79 A tab.video.qq.com CNAME ins-226f7q0w.ias.tencent-cloud.net A 122.97.71.166 A 122.97.71.201"
"1383","72.573726","10.192.157.147","10.192.157.113","DNS","94","Standard query 0xad7b A ins-226f7q0w.ias.tencent-cloud.net"
"1384","72.581388","10.192.157.113","10.192.157.147","DNS","126","Standard query response 0xad7b A ins-226f7q0w.ias.tencent-cloud.net A 122.97.71.201 A 122.97.71.166"
"1426","78.637665","10.192.157.147","10.192.157.113","DNS","79","Standard query 0x8e19 A pc-mon.zijieapi.com"
"1427","78.638123","10.192.157.147","10.192.157.113","DNS","79","Standard query 0xb7eb AAAA pc-mon.zijieapi.com"
"1428","78.681024","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","99","Standard query 0x8e19 A pc-mon.zijieapi.com"
"1429","78.681022","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","99","Standard query 0xb7eb AAAA pc-mon.zijieapi.com"
"1430","78.686104","10.192.157.113","10.192.157.147","DNS","271","Standard query response 0x8e19 A pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com A 59.80.57.39 A 14.204.96.153 A 59.80.57.34 A 59.80.57.36"
"1431","78.686104","10.192.157.113","10.192.157.147","DNS","207","Standard query response 0xb7eb AAAA pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com"
"1432","78.686104","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","246","Standard query response 0xb7eb AAAA pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com"
"1433","78.686104","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","310","Standard query response 0x8e19 A pc-mon.zijieapi.com CNAME pc-mon.zijieapi.com.bytedns1.com CNAME pc-mon.zijieapi.com.51296c5e.c.cdnhwc2.com CNAME hcdndyn.zjtd04.v4.c.cdnhwc2.com A 59.80.57.36 A 59.80.57.34 A 14.204.96.153 A 59.80.57.39"
"1517","90.553108","10.192.157.147","10.192.157.113","DNS","72","Standard query 0x04fe A k.clarity.ms"
"1518","90.553984","10.192.157.147","10.192.157.113","DNS","72","Standard query 0x72d2 AAAA k.clarity.ms"
"1520","90.592729","10.192.157.113","10.192.157.147","DNS","155","Standard query response 0x04fe A k.clarity.ms CNAME vmss-clarity-ingest-eus2-e.eastus2.cloudapp.azure.com A 172.175.38.6"
"1521","90.592729","10.192.157.113","10.192.157.147","DNS","139","Standard query response 0x72d2 AAAA k.clarity.ms CNAME vmss-clarity-ingest-eus2-e.eastus2.cloudapp.azure.com"
"1572","92.562824","10.192.157.147","10.192.157.113","DNS","74","Standard query 0x0ad9 A opt.doubao.com"
"1573","92.563007","10.192.157.147","10.192.157.113","DNS","74","Standard query 0xbe9b AAAA opt.doubao.com"
"1577","92.606324","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","94","Standard query 0xbe9b AAAA opt.doubao.com"
"1578","92.606364","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","94","Standard query 0x0ad9 A opt.doubao.com"
